person,line
monica," you actually broke her watch?  wow!  the worst thing i ever did was, i-i shredded by boyfriend's favorite bath towel."
paul," ooh, steer clear of you."
monica," that's right. [scene: monica's apartment, rachel is talking on the phone and pacing.]"
rachel," barry, i'm sorry... i am so sorry... i know you probably think that this is all about what i said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and i ju- (she stops talking and dials the phone.) hi, machine cut me off again... anyway...look, look, i know that some girl is going to be incredibly lucky to become mrs. barry finkel, but it isn't me, it's not me.  and not that i have any idea who me is right now, but you just have to give me a chance too... (the maching cuts her off again and she redials.)"
ross, i'm divorced!  i'm only 26 and i'm divorced!
joey, shut up!
chandler, you must stop! (chandler hits what he is working on with a hammer and it collapses.)
ross, that only took me an hour.
chandler," look, ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a mento.   you, however have had the love of a woman for four years.   four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  i don't think that was my point!"
ross," you know what the scariest part is? what if there's only one woman for everybody, y'know? i mean what if you get one woman- and that's it? unfortunately in my case, there was only one woman- for her..."
joey," what are you talking about? 'one woman'? that's like saying there's only one flavor of ice cream for you. lemme tell you something, ross. there's lots of flavors out there. there's rocky road, and cookie dough, and bing! cherry vanilla. you could get 'em with jimmies, or nuts, or whipped cream! this is the best thing that ever happened to you! you got married, you were, like, what, eight? welcome back to the world! grab a spoon!"
ross, i honestly don't know if i'm hungry or horny.
chandler," stay out of my freezer! [scene: a restaurant, monica and paul are still eating.]"
paul," ever since she walked out on me, i, uh..."
monica," what?..... what, you wanna spell it out with noodles?"
paul," no, it's, it's more of a fifth date kinda revelation."
monica," oh, so there is gonna be a fifth date?"
paul, isn't there?
monica," yeah... yeah, i think there is. -what were you gonna say?"
paul," well, ever-ev-... ever since she left me, um, i haven't been able to, uh, perform. (monica takes a sip of her drink.) ...sexually. "
monica," (spitting out her drink in shock) oh god, oh god, i am sorry... i am so sorry..."
paul, it's okay...
monica, i know being spit on is probably not what you need right now. um... how long?
paul, two years.
monica, wow! i'm-i'm-i'm glad you smashed her watch! 
paul," so you still think you, um... might want that fifth date?"
monica," (pause)...yeah. yeah, i do."
priest on tv," we are gathered here today to join joanne louise cunningham and charles, chachi-chachi-chachi, arcola in the bound of holy matrimony."
rachel, oh...see... but joanne loved chachi! that's the difference!
ross," (scornful) grab a spoon. do you know how long it's been since i've grabbed a spoon? do the words 'billy, don't be a hero' mean anything to you? "
joey," great story!  but, i uh, i gotta go, i got a date with andrea--angela--andrea...  oh man, (looks to chandler)"
chandler," angela's the screamer, andrea has cats."
joey, right.  thanks.  it's june.  i'm outta here. (exits.)
ross," y'know, here's the thing. even if i could get it together enough to- to ask a woman out,... who am i gonna ask? (he gazes out of the window.)"
rachel," isn't this amazing? i mean, i have never made coffee before in my entire life."
chandler, that is amazing.
joey, congratulations. 
rachel," y'know, i figure if i can make coffee, there isn't anything i can't do."
chandler," if can invade poland, there isn't anything i can't do."
joey," listen, while you're on a roll, if you feel like you gotta make like a western omelet or something... (joey and chandler taste the coffee, grimace, and pour it into a plant pot.) although actually i'm really not that hungry..."
monica," (entering, to herself) oh good, lenny and squigy are here."
all, morning. good morning.
paul, (entering from monica's room) morning.
joey," morning, paul."
rachel," hello, paul."
chandler," hi, paul, is it?"
paul, thank you!  thank you so much!
monica, stop!
paul," no, i'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in witness."
monica, we'll talk later.
paul, yeah. (they kiss) thank you. (exits)
joey, that wasn't a real date?! what the hell do you do on a real date?
monica," shut up, and put my table back."
all, okayyy! (they do so.)
chandler," all right, kids, i gotta get to work. if i don't input those numbers,... it doesn't make much of a difference... "
rachel," so, like, you guys all have jobs?"
monica," yeah, we all have jobs. see, that's how we buy stuff."
joey," yeah, i'm an actor."
rachel, wow! would i have seen you in anything?
joey, i doubt it. mostly regional work.
monica," oh wait, wait, unless you happened to catch the reruns' production of pinocchio, at the little theater in the park."
joey," look, it was a job all right?"
chandler," 'look, gippetto, i'm a real live boy.'"
joey, i will not take this abuse. (walks to the door and opens it to leave.)
chandler," you're right, i'm sorry. (burst into song and dances out of the door.) ""once i was a wooden boy, a little wooden boy..."""
joey," you should both know, that he's a dead man.  oh, chandler? (starts after chandler.) "
monica, so how you doing today? did you sleep okay? talk to barry? i can't stop smiling.
rachel, i can see that. you look like you slept with a hanger in your mouth.
monica," i know, he's just so, so... do you remember you and tony demarco?"
rachel," oh, yeah."
monica," well, it's like that. with feelings."
rachel, oh wow. are you in trouble.
monica, big time!
rachel, want a wedding dress?   hardly used.
monica," i think we are getting a little ahead of selves here. okay. okay. i am just going to get up, go to work and not think about him all day. or else i'm just gonna get up and go to work."
rachel," oh, look, wish me luck!"
monica, what for?
rachel, i'm gonna go get one of those (thinks) job things.
frannie," hey, monica! "
monica," hey frannie, welcome back! how was florida? "
frannie," you had sex, didn't you? "
monica, how do you do that?
frannie," oh, i hate you, i'm pushing my aunt roz through parrot jungle and you're having sex!  so? who? "
monica, you know paul? 
frannie," paul the wine guy? oh yeah, i know paul. "
monica, you mean you know paul like i know paul? 
frannie," are you kidding? i take credit for paul. y'know before me, there was no snap in his turtle for two years. "
joey, (sitting on the arm of the couch)of course it was a line! 
monica," why?! why? why, why would anybody do something like that? "
ross, i assume we're looking for an answer more sophisticated than 'to get you into bed'. 
monica, i hate men!  i hate men!
phoebe," oh no, don't hate, you don't want to put that out into the universe."
monica, is it me? is it like i have some sort of beacon that only dogs and men with severe emotional problems can hear? 
phoebe," all right, c'mere, gimme your feet. (she starts massaging them.) "
monica," i just thought he was nice, y'know? "
joey, (bursts out laughing again) i can't believe you didn't know it was a line! 
rachel, guess what? 
ross, you got a job? 
rachel, are you kidding? i'm trained for nothing! i was laughed out of twelve interviews today. 
chandler, and yet you're surprisingly upbeat. 
rachel," you would be too if you found john and david boots on sale, fifty percent off! "
chandler," oh, how well you know me... "
rachel," they're my new 'i don't need a job, i don't need my parents, i've got great boots' boots! "
monica, how'd you pay for them? 
rachel," uh, credit card. "
monica, and who pays for that? 
rachel, um... my... father. 
rachel," oh god, come on you guys, is this really necessary?  i mean, i can stop charging anytime i want. "
monica," c'mon, you can't live off your parents your whole life. "
rachel, i know that. that's why i was getting married. 
phoebe," give her a break, it's hard being on your own for the first time. "
rachel, thank you. 
phoebe," you're welcome. i remember when i first came to this city. i was fourteen. my mom had just killed herself and my step-dad was back in prison, and i got here, and i didn't know anybody. and i ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then i found aromatherapy. so believe me, i know exactly how you feel. "
ross, the word you're looking for is 'anyway'... 
monica," all right, you ready?"
rachel," no.  no, no, i'm not ready!  how can i be ready?  ""hey, rach!  you ready to jump out the airplane without your parachute?""  come on, i can't do this!"
monica," you can, i know you can! "
rachel, i don't think so.
ross," come on, you made coffee!   you can do anything! (chandler slowly tries to hide the now dead plant from that morning when he and joey poured their coffee into it.)"
ross," c'mon, cut. cut, cut, cut,... "
all," cut, cut, cut, cut, cut, cut, cut... (she cuts one of them and they cheer.)"
rachel, y'know what?  i think we can just leave it at that.  it's kinda like a symbolic gesture...
monica,  rachel!  that was a library card! 
all," cut, cut, cut, cut, cut, cut, cut.."
chandler," (as rachel is cutting up her cards) y'know, if you listen closely, you can hear a thousand retailers scream. "
monica, welcome to the real world! it sucks. you're gonna love it! 
monica," well, that's it (to ross) you gonna crash on the couch? "
ross," no. no, i gotta go home sometime. "
monica, you be okay? 
ross, yeah. 
rachel," hey mon, look what i just found on the floor. (monica smiles.) what? "
monica," that's paul's watch. you just put it back where you found it. oh boy. alright. goodnight, everybody. "
ross and rachel, goodnight.
ross," mmm. (they both reach for the last cookie) oh, no- "
rachel, sorry- 
ross," no no no, go- "
rachel," no, you have it, really, i don't want it- "
ross, split it? 
rachel, okay. 
ross," okay. (they split it.) you know you probably didn't know this, but back in high school, i had a, um, major crush on you. "
rachel, i knew. 
ross, you did! oh.... i always figured you just thought i was monica's geeky older brother. 
rachel, i did. 
ross," oh. listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if i asked you out? sometime? maybe? "
rachel," yeah, maybe... "
ross," okay... okay, maybe i will... "
rachel, goodnight. 
ross, goodnight. 
monica," see ya.... waitwait, what's with you? "
ross, i just grabbed a spoon. (ross exits and monica has no idea what that means.) 
joey, i can't believe what i'm hearing here. 
phoebe, (sings) i can't believe what i'm hearing here... 
monica, what? i-i said you had a- 
phoebe, (sings) what i said you had... 
monica, (to phoebe) would you stop? 
phoebe," oh, was i doing it again?"
all, yes!
monica," i said that you had a nice butt, it's just not a great butt."
joey," oh, you wouldn't know a great butt if it came up and bit ya."
ross, there's an image. 
rachel, (walks up with a pot of coffee) would anybody like more coffee? 
chandler," did you make it, or are you just serving it? "
rachel, i'm just serving it. 
all," yeah. yeah, i'll have a cup of coffee. "
chandler," kids, new dream... i'm in las vegas. (rachel sits down to hear chandler's dream.)"
customer," (to rachel) ahh, miss?   more coffee? "
rachel," ugh. (to another customer that's leaving.) excuse me, could you give this to that guy over there? (hands him the coffee pot.) go ahead. (he does so.) thank you. (to the gang.) sorry.  okay, las vegas."
chandler," okay, so, i'm in las vegas... i'm liza minelli- "
monica," what you guys don't understand is, for us, kissing is as important as any part of it. "
joey," yeah, right!.......y'serious? "
phoebe," oh, yeah! "
rachel, everything you need to know is in that first kiss. 
monica, absolutely. 
chandler," yeah, i think for us, kissing is pretty much like an opening act, y'know? i mean it's like the stand-up comedian you have to sit through before pink floyd comes out. "
ross," yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket. "
chandler," the problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? i mean, we're in the car, we're fighting traffic... basically just trying to stay awake. "
rachel," yeah, well, word of advice: bring back the comedian. otherwise next time you're gonna find yourself sitting at home, listening to that album alone. "
joey, (pause)....are we still talking about sex?
ross," no, it's good, it is good, it's just that- mm- doesn't she seem a little angry? "
marsha," well, she has issues. "
ross, does she. 
marsha," he's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet! "
ross," marsha, these are cave people. okay? they have issues like 'gee, that glacier's getting kinda close.' see? "
marsha," speaking of issues, isn't that your ex-wife? "
ross, (trying to ignore her) no. no. 
marsha," yes, it is. carol! hi! "
ross," okay, okay, yes, it is. (waves) how about i'll, uh, catch up with you in the ice age. "
ross,hi. 
carol, so. 
ross," you look great. i, uh... i hate that. "
carol, sorry. you look good too. 
ross," ah, well, in here, anyone who... stands erect... so what's new? still, uh... "
carol, a lesbian? 
ross," well... you never know. how's, um.. how's the family? "
carol," marty's still totally paranoid. oh, and, uh- "
ross," why- why are you here, carol? "
carol, i'm pregnant. 
ross, pregnant?! 
chandler," oh, i think this is the episode of three's company where there's some kind of misunderstanding. "
phoebe,...then i've already seen this one! (turns off the tv.) 
monica, (taking a drink from joey) are you through with that? 
joey," yeah, sorry, the swallowing slowed me down. "
monica, whose little ball of paper is this?! 
chandler," oh, uh, that would be mine. see, i wrote a note to myself, and then i realised i didn't need it, so i balled it up and... (sees that monica is glaring at him) ...now i wish i was dead. "
phoebe," she's already fluffed that pillow... monica, you know, you've already fluffed that- (monica glares at her.) -but, it's fine! "
monica," look , i'm sorry, guys, i just don't wanna give them any more ammunition than they already have. "
chandler," yes, and we all know how cruel a parent can be about the flatness of a child's pillow. "
phoebe," monica- hi! um, monica, you're scaring me. i mean, you're like, you're like all chaotic and twirly. and not-not in a good way. "
joey," yeah, calm down. you don't see ross getting all chaotic and twirly every time they come. "
monica," that's because as far as my parents are concerned, ross can do no wrong. y'see, he's the prince. apparently they had some big ceremony before i was born. "
chandler," (looking out the window) ew, ew, ew, ew ew ew ew ew! "
monica, what? 
chandler, ugly naked guy got a thighmaster! 
all, eeaagh! 
rachel, has anybody seen my engagement ring? 
phoebe," yeah, it's beautiful. "
rachel," oh god, oh god, oh god oh god oh god oh god.... (starts to look under the couch cushions.) "
phoebe," no, look, don't touch that! "
rachel," oh, like i wasn't dreading tomorrow enough, having to give it back to him... 'hi barry! remember me? i'm the girl in the veil who stomped on your heart in front of your entire family!' oh god and now i'm gonna have to return the ring, without the ring, which makes it so much harder... "
monica," easy rach, we'll find it. (to all) won't we! "
chandler and joey, oh! yeah!
joey," alright, when'd'ya have it on last?"
phoebe, doy! probably right before she lost it! 
chandler, you don't get a lot of 'doy' these days... 
rachel," i know i had it this morning, and i know i had it when i was in the kitchen with... "
chandler, ...dinah? 
rachel," (looks at the lasagne and realizes something) ohhhhh, don't be mad... "
monica, you didn't. 
rachel," oh, i am sorry... "
monica, i gave you one job! (starts to examin the lasagne through the bottom of the glass pan.) 
rachel," oh, but look how straight those noodles are! "
chandler," now, monica, you know that's not how you look for an engagement ring in a lasagne... "
monica, (puts down the lasagne) i just... can't do it. 
chandler, boys? we're going in. 
ross, (standing outside the door).....hi. 
monica, wow. that is not a happy hi. 
ross, carol's pregnant. 
phoebe, (while everyone else is stunned) ooh! i found it! 
monica, w-w-wh-... wha-... w-w-w-... 
ross," yeah. do that for another two hours, you might be where i am right about now. (he enters.) "
chandler," kinda puts that whole pillow thing in perspective, huh, mon? "
rachel," well now, how-how do you fit into this whole thing? "
ross," well, carol says she and susan want me to be involved, but if i'm not comfortable with it, i don't have to be involved.. basically it's entirely up to me. "
phoebe, she is so great! i miss her. 
monica, what does she mean by 'involved'? 
chandler," i mean presumably, the biggest part of your job is done. "
ross," anyway, they want me to go down to this- sonogram thing with them tomorrow. "
rachel, so what are you gonna do? 
ross," i have no idea. no matter what i do, though, i'm still gonna be a father. "
joey," .....well, this is still ruined, right?"
mrs. geller," oh, martha ludwin's daughter is gonna call you. (tastes a snack) mmm! what's that curry taste? "
monica, curry. 
mrs. geller, mmmm! 
ross," i- i think they're great! i, i really do. "
mr. geller," (to ross) do you remember the ludwins? the big one had a thing for you, didn't she? "
mrs. geller, they all had a thing for him. 
ross," aw, mom... "
monica," i'm sorry, why is this girl going to call me? "
mrs. geller," oh, she just graduated, and she wants to be something in cooking, or food, or.... i don't know. anyway, i told her you had a restaurant- "
monica," no mom, i don't have a restaurant, i work in a restaurant. "
mrs. geller," well, they don't have to know that... (she starts to fluff the same pillow monica fluffed multiple times earlier.) "
monica," ross, could you come and help me with the spaghetti, please? "
ross, yeah. (they go to the kitchen.) 
mrs. geller," oh, we're having spaghetti! that's.... easy. "
monica," i know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? because i think it might take some of the heat off me. "
mrs. geller," what that rachel did to her life.... we ran into her parents at the club, they were not playing very well. "
mr. geller, i'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money! 
mrs. geller," well, at least she had the chance to leave a man at the altar... "
monica, what's that supposed to mean? 
mrs. geller, nothing! it's an expression. 
monica, no it's not. 
mr. geller," don't listen to your mother. you're independent, and you always have been! even when you were a kid... and you were chubby, and you had no friends, you were just fine! and you would read alone in your room, and your puzzles... "
mr. geller," look, there are people like ross who need to shoot for the stars, with his museum, and his papers getting published. other people are satisfied with staying where they are- i'm telling you, these are the people who never get cancer. "
mr. geller," ...and i read about these women trying to have it all, and i thank god 'our little harmonica' doesn't seem to have that problem. "
monica," (trying desperately to change the subject) so, ross, what's going on with you? any stories? (digs her elbow into his hand.) no news, no little anecdotes to share with the folks? "
ross," (pulls his hand away) okay! okay. (to his parents) look, i, uh- i realise you guys have been wondering what exactly happened between carol and me, and, so, well, here's the deal. carol's a lesbian. she's living with a woman named susan. she's pregnant with my child, and she and susan are going to raise the baby. "
mrs. geller, (to monica) and you knew about this?! 
joey," your folks are really that bad, huh? "
ross," well, y'know, these people are pros. they know what they're doing, they take their time, they get the job done. "
monica," boy, i know they say you can't change your parents,... boy, if you could- (to ross) -i'd want yours. "
ross, must pee. (goes to pee.) 
phoebe," y'know, it's even worse when you're twins. "
rachel, you're twins? 
phoebe," yeah. we don't speak. she's like this high-powered, driven career type. "
chandler, what does she do? 
phoebe, she's a waitress. 
rachel," all right, you guys, i kinda gotta clean up now. (they all start to leave.) "
monica," chandler, you're an only child, right? you don't have any of this. "
chandler," well, no, although i did have an imaginary friend, who... my parents actually preferred. "
rachel," the lights, please.."
ross, ...how long was i in there? 
rachel, i'm just cleaning up. 
ross, d'ya.. uh.. d'ya need any help? 
rachel," uh.. okay, sure! thanks! (she hands him the broom and sits down.) "
ross," anyway.. um.. (starts to sweep.) so, you- uh- you nervous about barry tomorrow? "
rachel, oh.. a little.. 
ross, mm-hmm.. 
rachel, a lot. 
ross, mm. 
rachel," so, got any advice? y'know, as someone who's recently been- dumped? "
ross," well, you may wanna steer clear of the word 'dumped'. chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, i know it'll be hard. or, y'know, uh, hey!, i'll go down there, and i'll give barry back his ring, and you can go with carol and susan to the ob/gyn... "
rachel," oh, you've got carol tomorrow.. when did it get so complicated? "
ross, got me. 
rachel, remember when we were in high school together? 
ross, yeah. 
rachel," i mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? (ross gazes at her.) ..ross? "
ross," yes, yes! "
rachel," oh! man, i never thought i'd be here.. (she leans back onto his hand.) "
ross, me either... (he pulls up a stool so that he doesn't have to move his hand.) 
ross," (entering) sorry i'm late, i was stuck at work. there was this big dinosaur.. thing.. anyway. "
susan, hi. 
carol," ross, you remember susan. "
ross, how could i forget? 
susan, ross. 
ross," (they shake hands) hello, susan. (to carol) good shake. good shake. so, uh, we're just waiting for...? "
carol, dr. oberman. 
ross, ..dr. oberman. okay. and is he- 
susan, she. 
ross," -she, of course, she- uh- familiar with our.. special situation? "
carol," yes, and she's very supportive. "
ross," okay, that's great. (susan gives her drink to carol.) no, i'm- oh.  "
carol, thanks. 
ross," (picks up a surgical instrament and mimes a duck with it) quack, quack.. "
carol, ross? that opens my cervix. (he drops it in horror.) 
rachel, barry? 
barry, c'mon in. 
rachel, (hesitates) are you sure? 
barry," yeah! it's fine, it's fine. robbie's gonna be here for hours. "
robbie, huh?! 
barry," so, how ya doin? "
rachel, i'm- uh- i'm okay... you look great! 
barry," yeah, well.. "
bernice," (over intercom) dr. farber, jason greenstein's gagging. "
barry, (answering the intercom) be right there. (to robbie and rachel) be back in a sec. 
rachel, i dumped him. 
robbie, okay. 
ross," so, um- so how's this, uh, how's this gonna work? y'know, with us? y'know, when, like, important decisions have to be made? "
carol, give me a 'for instance'. 
ross," well, uh, uh, i don't know, okay, okay, how about with the, uh, with the baby's name? "
carol, marlon- 
ross, marlon?! 
carol," -if it's a boy, minnie if it's a girl. "
ross, ...as in mouse? 
carol, as in my grandmother. 
ross," still, you- you say minnie, you hear mouse. um, how about, um.. how about julia? "
carol, julia.. 
susan, we agreed on minnie. 
ross," 's'funny, um, uh, we agreed we'd spend the rest of our lives together. things change, roll with the punches. i believe julia's on the table..? "
barry, sorry about that. so. what have you been up to? 
rachel," oh, not much. i-i got a job. "
barry," oh, that's great. "
rachel, why are- why are you so tanned? 
barry," oh, i, uh- i went to aruba. "
rachel, oh no. you went on our honeymoon alone? 
barry," no. i went with, uh.. now, this may hurt. "
robbie, me?! 
barry, no! (to rachel) i went with mindy. 
rachel," mindy?! my maid of honour, mindy?! "
barry," yeah, well, uh, we're kind of a thing now. "
rachel," oh! well, um.. (grabs his forehand) you've got plugs! "
barry, careful! they haven't quite taken yet. 
rachel, and you've got lenses! but you hate sticking your finger in your eye! 
barry," not for her. listen, i really wanted to thank you. "
rachel, okay.. 
barry," see, about a month ago, i wanted to hurt you. more than i've ever wanted to hurt anyone in my life. and i'm an orthodontist. "
rachel, wow. 
barry," you know, you were right? i mean, i thought we were happy. we weren't happy. but with mindy, now i'm happy. spit. "
rachel, what? 
robbie, me. (spits.) 
rachel," anyway, um, (gets the ring out of her purse.) i guess this belongs to you. and thank you for giving it to me. "
barry," well, thank you for giving it back. "
robbie, hello?! 
susan," oh, please! what's wrong with helen? "
ross, helen geller? i don't think so. 
carol, hello? it's not gonna be helen geller. 
ross, thank you! 
carol," no, i mean it's not geller. "
