person,line
chandler, kill me. kill me now. 
monica, hey everybody! it's fun bobby!
fun bobby," hey, sorry i'm late. but my, uh, grandfather, he- died about two hours ago. but i-i-i couldn't get a flight out 'til tomorrow, so here i am!"
joey, (approaching) hey fun bobby! whoah! who died?
fun bobby," it's gonna be an open casket, y'know, so at least i'll- i get to see him again."
janice," (ross is still taking their photo) oh, i'm gonna blow this one up, and i'm gonna write 'reunited' in glitter."
chandler," alright, janice, that's it! janice... janice... hey, janice, when i invited you to this party i didn't necessarily think that it meant that we-"
janice," oh, no. oh, no."
chandler, i'm sorry you misunderstood...
janice," oh my god. you listen to me, chandler, you listen to me. one of these times is just gonna be your last chance with me. (she runs off)"
chandler," oh, will you give me the thing. (snatches the camera)"
phoebe," hi, max!"
max, yoko. (to david) i've decided to go to minsk without you.
david, wow.
max, it won't be the same- but it'll still be minsk. happy new year.(walks off)
phoebe, are you alright?
david," yeah, i'm fine, i'm fine. "
phoebe, you're going to minsk.
david," no, i'm... not going to minsk."
phoebe," oh, you are so going to minsk. you belong in minsk. you can't stay here just 'cause of me."
david," yes i can. because if i go it means i have to break up with you, and i can't break up with you."
phoebe," oh yes, yes, yes you can. just say, um, 'phoebe, my work is my life and that's what i have to do right now'. and i say 'your work?! your work?! how can you say that?!'. and then you say, um, 'it's tearing me apart, but i have no choice. can't you understand that?'. and i say (hits him) 'no! no! i can't understand that!'."
david," uh, ow."
phoebe," ooh, sorry. um, and, and then you put your arms around me. and then you put your arms around me. (he does so) and, um, and then you tell me that you love me and you'll never forget me."
david, i'll never forget you.
phoebe, and then you say that it's almost midnight and you have to go because you don't wanna start the new year with me if you can't finish it. (they kiss) i'm gonna miss you. you scientist guy.
dick clark," (on tv) hi, this is dick clark, live in times square. we're in a virtual snowstorm of confetti here in times square..."
joey," there y'go, kids."
chandler, (to a woman who he has clearly just met) and then the peacock bit me. (laughs) please kiss me at midnight. (she leaves)
joey, you seen sandy?
chandler," ooh. uh, i don't know how to tell you this, but she's in monica's bedroom, getting it on with max, that scientist geek. ooh, look at that, i did know how to tell you."
rachel," vrrbddy, the bll is drrbing."
all, (in the kitchen) what?
rachel, the bll is drrbing!
dick clark, (on tv) in twenty seconds it'll be midnight...
chandler, and the moment of joy is upon us.
joey, looks like that no date pact thing worked out.
phoebe, everybody looks so happy. i hate that.
monica, not everybody's happy. hey bobby!
chandler," y'know, i uh.. just thought i'd throw this out here. i'm no math whiz, but i do believe there are three girls and three guys right here. (makes kiss noise)"
phoebe, i dunno. i don't feel like kissing anyone tonight.
rachel, i can't kiss anyone.
monica, so i'm kissing everyone?
joey," nonono, you can't kiss ross, that's your brother."
ross, perfect. perfect. so now everybody's getting kissed but me.
chandler," alright, somebody kiss me. somebody kiss me, it's midnight! somebody kiss me!"
joey, alrightalrightalright. (kisses him. ross takes a photo) there.
ross," (watching marcel and talking to rachel) i wanted this to work so much. i mean i'm still in there, changing his diapers, pickin' his fleas... but he's just phoning it in. just so hard to accept the fact that something you love so much doesn't love you back."
rachel, ...i think that bitch cracked my tooth.
phoebe, do you think they have yesterday's daily news?
monica, why?
phoebe," just wanna check my horoscope, see if it was right."
monica," oh my god. (grabs phoebe and turns her away) phoebe. don't look now, but behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression. "
phoebe," where? (turns to face him) ooh, come to momma."
monica," he's coming. be cool, be cool, be cool."
guy, nice hat.
monica and phoebe, (in unison) thanks.
phoebe, we should do something. whistle.
monica, we are not going to whistle.
phoebe," come on, do it."
monica, no!
phoebe, do it!
monica, no!
phoebe, do it do it do it!
monica, (shouts to the guy) woo-woo!
phoebe, i can't believe you did that!
monica," why did i 'woo-hoo'? i mean, what was i hoping would happen? that-that he'd turn round and say 'i love that sound, i must have you now'?"
phoebe," i just wish there was something we could do. (bends down and talks to him) hello. hello, coma guy. get up, you girl scout! up! up! up!"
monica," phoebe, what are you doing?"
phoebe, maybe nobody's tried this.
monica," i wish we at least knew his name... look at that face. i mean, even sleeping, he looks smart. i bet he's a lawyer."
phoebe," yeah, but did you see the dents in his knuckles? that means he's artistic."
monica," okay, he's a lawyer, who teaches sculpting on the side. and- he can dance!"
phoebe," oh! and, he's the kinda guy who, when you're talking, he's listening, y'know, and not saying 'yeah, i understand' but really wondering what you look like naked."
monica, i wish all guys could be like him.
phoebe, i know.
chandler, are there no conscious men in the city for you two?
monica, he doesn't have anyone.
phoebe," yeah, we-we feel kinda responsible."
joey, i can't believe you said woowoo. i don't even say woowoo.
rachel," oh, she's coming up! she's coming up! (turns on the tv)"
jay leno," (on tv) folks, when we come back we'll be talking about her new book, 'euphoria unbound': the always interesting nora tyler bing. you might wanna put the kids to bed for this one."
chandler," y'know, we don't have to watch this. weekend at bernie's is on showtime, hbo, and cinemax."
rachel," no way, forget it."
joey," c'mon, she's your mom!"
chandler," exactly. weekend at bernie's! dead guy getting hit in the groin twenty, thirty times! no?"
rachel," chandler, i gotta tell you, i love your mom's books! i love her books! i cannot get on a plane without one! i mean, this is so cool!"
chandler," yeah, well, you wouldn't think it was cool if you're eleven years old and all your friends are passing around page 79 of 'mistress bitch.'"
ross," c'mon, chandler, i love your mom. i think she's a blast."
chandler, you can say that because she's not your mom.
ross," oh, please..."
paolo, bona sera.
rachel," oh, hi sweetie. (they kiss)"
ross, when did rigatoni get back from rome?
monica, last night.
ross," ah, so then his plane didn't explode in a big ball of fire?... just a dream i had- but, phew."
phoebe, hey hey hey! she's on!
paolo, ah! nora bing!
jay leno, (on tv) ...now what is this about you-you being arrested i-in london? what is that all about?
phoebe, your mom was arrested?
chandler," shhh, busy beaming with pride."
mrs. bing," (on tv) ...this is kind of embarrassing, but occasionally after i've been intimate with a man..."
chandler, now why would she say that's embarrassing?
all, shhh.
mrs. bing, (on tv) ...i just get this craving for kung pow chicken.
chandler, that's too much information!!
jay leno," (on tv) alright, so now you're doing this whole book tour thing, how is that going?"
mrs. bing," (on tv) oh, fine. i'm leaving for new york tomorrow, which i hate- but i get to see my son, who i love..."
all, awww!
chandler, this is the way that i find out. most moms use the phone.
jay leno," (on tv) y'know, don't take this wrong, i-i just don't see you a-as a mom, somehow.. i don't mean that, i don't mean that bad..."
mrs. bing," (on tv) oh no, i am a fabulous mom! i bought my son his first condoms."
chandler, ...and then he burst into flames.
monica," let's see. congress is debating a new deficit reduction bill... the mayor wants to raise subway fares again... the high today was forty-five... and- oh, teams played sports."
